GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
8600000US60118,60118,ZCTA5 60118,43.8,1.9,42.3,3.1,45.6,2.3
8600000US60119,60119,ZCTA5 60119,42.1,2.0,42.4,2.8,42.1,3.0
8600000US60120,60120,ZCTA5 60120,31.8,1.1,31.3,1.4,32.3,1.6
8600000US60123,60123,ZCTA5 60123,34.2,0.9,33.2,0.9,36.2,1.4
8600000US60124,60124,ZCTA5 60124,39.4,1.7,38.7,3.4,39.7,1.7
8600000US60126,60126,ZCTA5 60126,40.2,0.8,37.3,2.0,42.2,1.0
8600000US60129,60129,ZCTA5 60129,38.3,18.9,36.9,16.3,38.5,26.2
8600000US60130,60130,ZCTA5 60130,39.8,3.0,38.1,4.1,41.2,2.8
8600000US60131,60131,ZCTA5 60131,39.2,0.9,38.8,1.7,39.4,1.1
8600000US60133,60133,ZCTA5 60133,33.8,1.0,33.4,1.4,34.1,1.3
8600000US60134,60134,ZCTA5 60134,41.2,1.4,39.8,2.1,42.3,1.1
8600000US60135,60135,ZCTA5 60135,40.2,6.2,40.5,6.9,40.1,6.6
8600000US60136,60136,ZCTA5 60136,32.3,1.0,32.1,5.0,32.6,3.9
8600000US60137,60137,ZCTA5 60137,41.6,1.4,40.2,1.3,43.1,2.0
8600000US60139,60139,ZCTA5 60139,33.2,0.9,32.1,1.3,34.3,1.7
8600000US60140,60140,ZCTA5 60140,39.1,3.4,39.9,4.6,36.1,7.6
8600000US60141,60141,ZCTA5 60141,65.0,13.6,65.0,13.6,,
8600000US60142,60142,ZCTA5 60142,45.7,1.6,42.7,2.8,48.4,2.7
8600000US60143,60143,ZCTA5 60143,41.4,1.9,42.2,2.3,40.9,1.7
8600000US60144,60144,ZCTA5 60144,41.5,14.8,49.5,17.8,38.4,39.2
8600000US60145,60145,ZCTA5 60145,36.8,3.5,37.0,5.9,36.7,5.4
8600000US60146,60146,ZCTA5 60146,36.7,4.3,35.3,4.9,37.5,6.6
8600000US60148,60148,ZCTA5 60148,40.5,0.9,39.0,1.3,42.3,1.5
8600000US60150,60150,ZCTA5 60150,37.8,5.0,39.8,5.2,34.9,5.5
8600000US60151,60151,ZCTA5 60151,41.5,4.3,42.1,5.7,40.6,4.5
8600000US60152,60152,ZCTA5 60152,42.6,2.1,42.7,2.3,42.4,3.0
8600000US60153,60153,ZCTA5 60153,34.2,1.4,31.2,2.3,36.0,2.3
8600000US60154,60154,ZCTA5 60154,46.5,1.7,45.2,2.8,47.4,2.3
8600000US60155,60155,ZCTA5 60155,44.6,3.3,42.4,5.0,47.1,3.9
8600000US60156,60156,ZCTA5 60156,36.1,1.8,35.0,2.2,36.9,2.6
8600000US60157,60157,ZCTA5 60157,42.8,3.4,44.3,4.9,42.2,2.7
8600000US60160,60160,ZCTA5 60160,31.5,1.1,30.3,1.6,33.5,1.8
8600000US60162,60162,ZCTA5 60162,40.3,3.5,41.2,3.0,38.5,4.6
8600000US60163,60163,ZCTA5 60163,36.0,4.5,35.6,6.0,36.6,4.9
8600000US60164,60164,ZCTA5 60164,35.3,1.6,35.0,2.2,35.5,2.1
8600000US60165,60165,ZCTA5 60165,30.7,2.5,31.4,4.0,30.3,5.7
8600000US60169,60169,ZCTA5 60169,34.9,0.9,33.8,1.7,36.4,1.5
8600000US60171,60171,ZCTA5 60171,38.4,1.9,36.7,4.0,39.5,3.8
8600000US60172,60172,ZCTA5 60172,38.8,1.3,37.5,2.3,39.7,1.4
8600000US60173,60173,ZCTA5 60173,32.0,0.8,32.0,1.2,32.1,1.3
8600000US60174,60174,ZCTA5 60174,43.2,1.4,42.8,2.1,43.9,2.2
8600000US60175,60175,ZCTA5 60175,40.2,1.6,36.7,1.4,43.3,1.5
8600000US60176,60176,ZCTA5 60176,37.1,1.7,35.5,2.3,40.0,3.0
8600000US60177,60177,ZCTA5 60177,36.1,1.7,36.3,2.6,36.0,1.7
8600000US60178,60178,ZCTA5 60178,37.9,2.2,36.9,1.9,39.3,2.8
8600000US60180,60180,ZCTA5 60180,51.8,5.7,53.7,3.4,48.4,12.7
8600000US60181,60181,ZCTA5 60181,36.5,1.0,36.0,1.5,37.3,1.6
8600000US60184,60184,ZCTA5 60184,47.9,3.3,48.0,4.2,47.6,3.4
8600000US60185,60185,ZCTA5 60185,33.8,1.0,32.8,1.3,35.5,1.4
8600000US60187,60187,ZCTA5 60187,36.5,1.9,34.7,1.7,37.7,1.8
8600000US60188,60188,ZCTA5 60188,38.0,1.5,35.2,1.6,40.3,0.7
8600000US60189,60189,ZCTA5 60189,40.8,1.0,38.8,1.9,42.5,1.4
8600000US60190,60190,ZCTA5 60190,45.6,1.8,41.4,2.7,49.5,2.0
8600000US60191,60191,ZCTA5 60191,41.4,2.1,41.4,2.5,41.5,3.2
8600000US60192,60192,ZCTA5 60192,41.9,1.2,41.9,1.9,41.9,2.0
8600000US60193,60193,ZCTA5 60193,41.9,1.4,38.6,1.4,44.1,1.8
8600000US60194,60194,ZCTA5 60194,37.9,1.6,35.4,1.9,40.4,3.0
8600000US60195,60195,ZCTA5 60195,31.8,1.5,32.7,2.5,31.1,2.1
8600000US60201,60201,ZCTA5 60201,31.0,1.0,29.1,1.7,33.5,2.2
8600000US60202,60202,ZCTA5 60202,38.5,1.2,37.8,1.3,38.9,1.2
8600000US60203,60203,ZCTA5 60203,42.3,3.8,39.0,2.8,46.9,5.8
8600000US60301,60301,ZCTA5 60301,45.7,7.0,40.6,9.5,49.5,8.6
8600000US60302,60302,ZCTA5 60302,39.5,1.2,39.2,1.4,39.9,1.7
8600000US60304,60304,ZCTA5 60304,38.0,0.8,36.6,1.4,39.5,1.4
8600000US60305,60305,ZCTA5 60305,41.6,2.2,41.9,2.7,41.2,3.3
8600000US60401,60401,ZCTA5 60401,46.0,1.4,45.1,1.4,48.1,3.5
8600000US60402,60402,ZCTA5 60402,35.2,1.2,35.0,1.5,35.5,1.5
8600000US60403,60403,ZCTA5 60403,38.3,1.1,35.7,2.1,40.4,2.1
8600000US60404,60404,ZCTA5 60404,38.7,1.0,38.9,2.1,38.6,1.7
8600000US60406,60406,ZCTA5 60406,34.2,1.7,34.3,2.1,34.1,2.6
8600000US60407,60407,ZCTA5 60407,35.3,3.6,34.6,3.9,36.2,5.0
8600000US60408,60408,ZCTA5 60408,40.5,2.0,40.1,3.2,40.6,2.0
8600000US60409,60409,ZCTA5 60409,36.1,1.8,34.5,1.9,38.0,2.6
8600000US60410,60410,ZCTA5 60410,36.3,2.4,35.8,3.2,36.8,2.7
8600000US60411,60411,ZCTA5 60411,33.8,1.1,32.4,1.2,36.1,1.7
8600000US60415,60415,ZCTA5 60415,32.6,1.2,31.3,2.1,33.4,3.1
8600000US60416,60416,ZCTA5 60416,34.8,1.4,36.1,1.7,34.2,1.2
8600000US60417,60417,ZCTA5 60417,48.3,1.9,45.9,4.9,49.2,1.9
8600000US60419,60419,ZCTA5 60419,36.4,1.8,30.7,1.9,41.6,2.4
8600000US60420,60420,ZCTA5 60420,40.6,3.8,45.1,4.3,36.8,2.5
8600000US60421,60421,ZCTA5 60421,42.2,4.5,40.3,4.1,43.6,3.2
8600000US60422,60422,ZCTA5 60422,47.8,4.3,47.5,4.3,48.8,4.6
8600000US60423,60423,ZCTA5 60423,41.0,1.0,40.9,1.0,41.1,1.5
8600000US60424,60424,ZCTA5 60424,41.7,5.4,40.4,7.7,43.0,5.1
8600000US60425,60425,ZCTA5 60425,42.8,4.5,38.8,7.0,45.6,2.8
8600000US60426,60426,ZCTA5 60426,37.2,2.9,35.6,3.0,38.6,3.7
8600000US60428,60428,ZCTA5 60428,37.2,2.2,29.5,3.2,38.9,2.8
8600000US60429,60429,ZCTA5 60429,38.8,2.8,32.3,6.5,42.4,3.9
8600000US60430,60430,ZCTA5 60430,42.1,1.6,40.1,3.9,43.8,1.8
8600000US60431,60431,ZCTA5 60431,33.9,2.1,32.8,1.4,36.3,2.3
8600000US60432,60432,ZCTA5 60432,30.0,1.3,29.5,1.6,30.6,2.1
8600000US60433,60433,ZCTA5 60433,34.6,1.5,33.8,1.6,36.6,2.6
8600000US60435,60435,ZCTA5 60435,35.6,0.7,34.6,1.3,36.5,1.1
8600000US60436,60436,ZCTA5 60436,32.1,1.7,32.0,2.0,32.2,2.1
8600000US60437,60437,ZCTA5 60437,52.3,14.2,53.5,6.8,46.5,29.1
8600000US60438,60438,ZCTA5 60438,42.1,1.9,40.0,2.7,42.8,1.8
8600000US60439,60439,ZCTA5 60439,43.0,2.1,42.7,2.4,43.3,2.3
8600000US60440,60440,ZCTA5 60440,33.4,0.9,32.4,0.9,34.3,1.3
8600000US60441,60441,ZCTA5 60441,36.2,1.1,35.7,1.4,36.6,1.4
8600000US60442,60442,ZCTA5 60442,34.7,1.6,34.2,2.1,35.5,3.3
8600000US60443,60443,ZCTA5 60443,41.1,2.7,40.0,4.0,41.6,2.9
8600000US60444,60444,ZCTA5 60444,35.4,4.7,33.5,5.1,36.9,6.6
8600000US60445,60445,ZCTA5 60445,39.0,2.0,37.1,2.3,40.8,2.1
8600000US60446,60446,ZCTA5 60446,32.6,0.9,32.9,1.5,32.3,1.2
8600000US60447,60447,ZCTA5 60447,33.6,1.4,32.6,2.7,34.0,1.9
8600000US60448,60448,ZCTA5 60448,40.6,1.0,39.2,2.2,43.1,2.3
8600000US60449,60449,ZCTA5 60449,42.1,2.0,42.3,1.4,40.9,4.6
8600000US60450,60450,ZCTA5 60450,41.4,1.2,40.0,2.0,43.3,2.1
8600000US60451,60451,ZCTA5 60451,38.3,1.1,37.7,1.4,38.7,1.4
8600000US60452,60452,ZCTA5 60452,38.2,2.1,35.9,2.7,41.0,2.0
8600000US60453,60453,ZCTA5 60453,41.0,1.9,37.9,1.2,44.3,1.3
8600000US60455,60455,ZCTA5 60455,38.1,1.8,38.8,2.9,37.5,2.0
8600000US60456,60456,ZCTA5 60456,41.0,4.6,44.9,7.5,37.6,9.6
8600000US60457,60457,ZCTA5 60457,38.6,2.2,37.3,2.2,40.4,3.4
8600000US60458,60458,ZCTA5 60458,31.6,1.0,30.8,1.4,32.1,1.0
8600000US60459,60459,ZCTA5 60459,36.5,1.9,35.4,1.3,37.8,2.4
8600000US60460,60460,ZCTA5 60460,43.5,6.2,46.0,8.4,41.4,10.0
8600000US60461,60461,ZCTA5 60461,53.3,2.9,49.6,5.2,54.2,1.6
8600000US60462,60462,ZCTA5 60462,45.3,0.8,43.8,1.5,46.4,1.4
